"state_cd","state","year","cms_notes","cms_plan_type","cms_program_name","cms_plan_name","cms_geographic_region","cms_medicaid_only_enrollment","cms_dual_enrollment","cms_total_enrollment","cms_parent_organization","kff_mco_name","kff_parent_firm","kff_comprehensive_plan_flag","taf_enrollee_count","taf_n_enrollees_at_least_one_claim","cms_plan_unmatched","taf_plan_unmatched","matched_last_year","matched_next_year","matched","chse_blue_cross_blue_shield_flag","chse_parent_firm","chse_mco_name","taf_no_enrollment_or_claims"
"AL","Alabama",2018," Beneficiaries can simultaneously enroll in Alabama's Patient 1st and Health Homes plans. The de-dupilcated Patient 1st plan enrollment is 380,285.","Program of All-Inclusive Care for the Elderly (PACE)","PACE (Program of All-inclusive Care for the Elderly (PACE))","Mercy Life of Alabama","Mobile and Baldwin Counties",25,149,174,"PACE",NA,NA,0,208,NA,0,0,1,1,1,0,"Trinity Health","Trinity Health",0
"AL","Alabama",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,20496,NA,0,1,0,0,0,0,"United Healthcare","United Healthcare",0
"AL","Alabama",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4486,NA,0,1,NA,0,0,0,"United Healthcare","United Healthcare",0
"AL","Alabama",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,14731,NA,0,1,0,0,0,0,"University of Alabama at Birmingham Health System","University of Alabama at Birmingham Health System",0
"AL","Alabama",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,15687,NA,0,1,0,0,0,0,"Cigna","Cigna",0
"AL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"AL","Alabama",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4970,NA,0,1,0,0,0,0,"Humana","Humana",0
"AL","Alabama",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,10,NA,0,1,NA,0,0,0,"Senior Select Partners","Senior Select Partners",0
"AL","Alabama",2018," Beneficiaries can simultaneously enroll in Alabama's Patient 1st and Health Homes plans. The de-dupilcated Patient 1st plan enrollment is 380,285.","Primary Care Case Management (PCCM)","Integrated Care Network (Primary Care Case Management Entity (PCCM Entity))","Alabama Select Network","Statewide",0,0,0,"Senior Select Partners",NA,NA,0,24220,NA,0,0,NA,1,1,0,"Senior Select Partners","Senior Select Partners",0
"AL","Alabama",2018," Beneficiaries can simultaneously enroll in Alabama's Patient 1st and Health Homes plans. The de-dupilcated Patient 1st plan enrollment is 380,285.","Primary Care Case Management (PCCM)","Patient 1st (Primary Care Case Management (PCCM))","Patient 1st","Statewide",611251,0,611251,"Alabama Medicaid Agency",NA,NA,0,804798,NA,0,0,1,1,1,0,"Alabama Medicaid Agency","Multiple primary care providers",0
"AL","Alabama",2018," Beneficiaries can simultaneously enroll in Alabama's Patient 1st and Health Homes plans. The de-dupilcated Patient 1st plan enrollment is 380,285.","Other Prepaid Health Plan (PHP) (limited benefits)","Maternity Care Program (Other Prepaid Health Plan (PHP) (limited benefits))","Maternity Care Plan","Barbour, Bibb, Blount, Calhoun, Chambers, Cherokee, Chilton, Choctaw, Clay, Cleburne, Coffee, Colbert, Coosa, Cullman, Dale, Dallas, DeKalb, Etowah, Fayette, Franklin, Geneva, Greene, Hale, Henry, Houston, Jackson, Jefferson, Lamar, Lauderdale, Lawrence, Lee, Limestone, Macon, Madison, Marengo, Marion, Marshall, Mobile, Morgan, Perry, Pickens, Randolph, Russell, St. Clair, Shelby, Sumter, Talladega, Tallapoosa, Tuscaloosa, Walker, Wilcox, and Winston Counties",22844,0,22844,"Alabama Medicaid Agency",NA,NA,0,NA,NA,1,0,0,0,0,0,"Alabama Medicaid Agency","Alabama Medicaid Agency",0
