state_cd,taf_mc_plan_id,chse_mco_name,state,year,cms_notes,cms_plan_type,cms_program_name,cms_plan_name,cms_geographic_region,cms_medicaid_only_enrollment,cms_dual_enrollment,cms_total_enrollment,cms_parent_organization,kff_mco_name,kff_comprehensive_plan,taf_mc_plan_name,taf_enrollment,taf_enrollment_in_claims,chse_matched_next_year,chse_blue_cross_blue_shield_flag,chse_parent_firm,kff_parent_firm,chse_matched_last_year,chse_parent_firm_acquisition_date,chse_parent_firm_name_change_date
AL,"",Maternity Care Plan,Alabama,2018,,Other Prepaid Health Plan (PHP) (limited benefits),Maternity Care Program (Other Prepaid Health Plan (PHP) (limited benefits)),Maternity Care Plan,"Barbour, Bibb, Blount, Calhoun, Chambers, Cherokee, Chilton, Choctaw, Clay, Cleburne, Coffee, Colbert, Coosa, Cullman, Dale, Dallas, DeKalb, Etowah, Fayette, Franklin, Geneva, Greene, Hale, Henry, Houston, Jackson, Jefferson, Lamar, Lauderdale, Lawrence, Lee, Limestone, Macon, Madison, Marengo, Marion, Marshall, Mobile, Morgan, Perry, Pickens, Randolph, Russell, St. Clair, Shelby, Sumter, Talladega, Tallapoosa, Tuscaloosa, Walker, Wilcox, and Winston Counties",22844,0,22844,Alabama Medicaid Agency,"",0,"",,,0,0,Alabama Medicaid Agency,"",0,,
AL,"",Multiple Primary Care Providers,Alabama,2018,,Primary Care Case Management (PCCM),Health Homes (Primary Care Case Management (PCCM)),Health Homes,Statewide,230966,0,230966,Alabama Medicaid Agency,"",0,"",,,0,0,Alabama Medicaid Agency,"",0,,
AL,*134322,Trinity Health,Alabama,2018,,Program of All-Inclusive Care for the Elderly (PACE),PACE (Program of All-inclusive Care for the Elderly (PACE)),Mercy Life of Alabama,Mobile and Baldwin Counties,25,149,174,PACE,"",0,MERCY LIFE OF ALABAMA,208,,1,0,Trinity Health,"",1,,
AL,*500010100,United Healthcare,Alabama,2018,,"","","","",,,,"","",0,UNITED HEALTHCARE OF MIDLANDS,20496,20680,0,0,United Healthcare,"",0,,
AL,*500010300,United Healthcare,Alabama,2018,,"","","","",,,,"","",0,"UNITEDHEALTHCARE OF ALABAMA, INC                                                  ",4486,4555,0,0,United Healthcare,"",,,
AL,*500020100,Viva Health,Alabama,2018,,"","","","",,,,"","",0,VIVA HEALTH,14731,14883,0,0,University of Alabama at Birmingham Health System,"",0,,
AL,*500030100,Healthspring of Alabama,Alabama,2018,,"","","","",,,,"","",0,HEALTHSPRING OF ALABAMA INC,15687,15905,0,0,Cigna,"",0,,
AL,*500060100,Arcadian,Alabama,2018,,"","","","",,,,"","",0,ARCADIAN,4970,5239,0,0,Humana,"",0,,
AL,*500070100,Senior Select Partners,Alabama,2018,,"","","","",,,,"","",0,"SIMPRA ADVANTAGE, INC                                                             ",10,11,0,0,Senior Select Partners,"",,,
AL,*ICN,Senior Select Partners,Alabama,2018,,Primary Care Case Management (PCCM),Integrated Care Network (Primary Care Case Management Entity (PCCM Entity)),Alabama Select Network,Statewide,0,0,0,Senior Select Partners,"",0,ICN,24220,24407,1,0,Senior Select Partners,"",,,
