state_cd,taf_mc_plan_id,chse_mco_name,state,year,cms_notes,cms_plan_type,cms_program_name,cms_plan_name,cms_geographic_region,cms_medicaid_only_enrollment,cms_dual_enrollment,cms_total_enrollment,cms_parent_organization,kff_mco_name,kff_comprehensive_plan,taf_mc_plan_name,taf_enrollment,taf_enrollment_in_claims,chse_matched_next_year,chse_blue_cross_blue_shield_flag,chse_parent_firm,kff_parent_firm,chse_matched_last_year,chse_parent_firm_acquisition_date,chse_parent_firm_name_change_date
AL,"",Maternity Care Plan,Alabama,2019,,Other Prepaid Health Plan (PHP) (limited benefits),Maternity Care Program (Other Prepaid Health Plan (PHP) (limited benefits)),Maternity Care Plan,"Statewide minus the following counties: Autuaga, Butler, Bullock, Crenshaw, Elmore, Lowdnes, Montgomery, Pike, Baldwin, Clarke, Conecuh, Covington, Escambia, Monroe and Washington Counties",32463,0,32463,Alabama Medicaid Agency,"",0,"",,,,0,Alabama Medicaid Agency,"",0,,
AL,"",Multiple Primary Care Providers,Alabama,2019,,Primary Care Case Management (PCCM),Health Homes (Primary Care Case Management (PCCM)),Multiple primary care providers,Statewide,253128,0,253128,Multiple primary care providers,"",0,"",,,,0,Alabama Medicaid Agency,"",0,,
AL,*134322,Trinity Health,Alabama,2019,,Program of All-Inclusive Care for the Elderly (PACE),Program of All-Inclusive Care for the Elderly (PACE) (Program of All-inclusive Care for the Elderly (PACE)),Mercy Life of Alabama,Mobile and Baldwin Counties,24,149,173,Trinity Health,"",0,MERCY LIFE OF ALABAMA,200,,1,0,Trinity Health,"",1,,
AL,*500010100,United Healthcare,Alabama,2019,,"","","","",,,,"","",0,UNITED HEALTHCARE OF MIDLANDS,23363,23484,0,0,United Healthcare,"",0,,
AL,*500010300,United Healthcare,Alabama,2019,,"","","","",,,,"","",0,"UNITEDHEALTHCARE OF ALABAMA, INC                                                  ",6598,6632,0,0,United Healthcare,"",0,,
AL,*500020100,Viva Health,Alabama,2019,,"","","","",,,,"","",0,VIVA HEALTH,14790,14864,0,0,University of Alabama at Birmingham Health System,"",0,,
AL,*500030100,Healthspring of Alabama,Alabama,2019,,"","","","",,,,"","",0,HEALTHSPRING OF ALABAMA INC,14800,14855,0,0,Cigna,"",0,,
AL,*500060100,Arcadian,Alabama,2019,,"","","","",,,,"","",0,ARCADIAN,9159,9226,0,0,Humana,"",0,,
AL,*500070100,Senior Select Partners,Alabama,2019,,"","","","",,,,"","",0,"SIMPRA ADVANTAGE, INC                                                             ",10,10,0,0,Senior Select Partners,"",0,,
AL,*ACHN,Alabama Coordinated Health Network,Alabama,2019,,"","","","",,,,"","",0,ACHN,829766,1001770,1,0,Alabama Coordinated Health Network,"",,,
AL,*ICN,Senior Select Partners,Alabama,2019,,Primary Care Case Management (PCCM),Integrated Care Network (Primary Care Case Management Entity (PCCM Entity)),Alabama Select Network,Statewide,4157,23861,28018,Senior Select Partners,"",0,ICN,29587,30425,1,0,Senior Select Partners,"",1,,
