state_cd,taf_mc_plan_id,chse_mco_name,state,year,cms_notes,cms_plan_type,cms_program_name,cms_plan_name,cms_geographic_region,cms_medicaid_only_enrollment,cms_dual_enrollment,cms_total_enrollment,cms_parent_organization,kff_mco_name,kff_comprehensive_plan,taf_mc_plan_name,taf_enrollment,taf_enrollment_in_claims,chse_matched_next_year,chse_blue_cross_blue_shield_flag,chse_parent_firm,kff_parent_firm,chse_matched_last_year,chse_parent_firm_acquisition_date,chse_parent_firm_name_change_date
AL,*134322,Trinity Health,Alabama,2021,"",Program of All-Inclusive Care for the Elderly (PACE),PACE (Program of All-inclusive Care for the Elderly (PACE)),Mercy Life of Alabama,Mobile and Baldwin counties,0,0,0,Trinity Health,"",0,MERCY LIFE OF ALABAMA,213,,,0,Trinity Health,"",1,,
AL,*500010100,United Healthcare,Alabama,2021,"","","","","",0,0,0,"","",0,UNITED HEALTHCARE OF MIDLANDS,10874,10919,,0,United Healthcare,"",0,,
AL,*500010300,United Healthcare,Alabama,2021,"","","","","",0,0,0,"","",0,"UNITEDHEALTHCARE OF THE MIDLANDS, INC",36067,36203,,0,United Healthcare,"",0,,
AL,*500020100,Viva Health,Alabama,2021,"","","","","",0,0,0,"","",0,VIVA HEALTH,15323,15397,,0,University of Alabama at Birmingham Health System,"",0,,
AL,*500030100,Healthspring of Alabama,Alabama,2021,"","","","","",0,0,0,"","",0,HEALTHSPRING OF ALABAMA INC,15331,15396,,0,Cigna,"",0,,
AL,*500060100,Arcadian,Alabama,2021,"","","","","",0,0,0,"","",0,ARCADIAN,15735,15850,,0,Humana,"",0,,
AL,*500070100,Senior Select Partners,Alabama,2021,"","","","","",0,0,0,"","",0,"SIMPRA ADVANTAGE, INC",18,20,,0,"Associated Care Ventures, Inc.","",0,,
AL,*500080100,CVS Health Corporation,Alabama,2021,"","","","","",0,0,0,"","",0,"AETNA BETTER HEALTH INC, A LOUISIANA CORPORATION",3317,3340,,0,CVS Health Corporation,"",0,,
AL,*500090100,Wellcare of Alabama,Alabama,2021,"","","","","",0,0,0,"","",0,WELLCARE OF ALABAMA INC,638,657,,0,Centene,"",,,
AL,*ACHN,Alabama Coordinated Health Network,Alabama,2021,"",Primary Care Case Management (PCCM),Alabama Coordinated Health Network (ACHN) (Primary Care Case Management Entity (PCCM Entity)),Alabama Coordinated Health Network,Statewide,0,0,0,"Blue Cross Blue Shield (dba Alahealth), Huntsville Hospital System, VIVA Health Plan","",0,ACHN,1005890,1000183,,0,Alabama Coordinated Health Network,"",1,,
AL,*ICN,Senior Select Partners,Alabama,2021,"",Primary Care Case Management (PCCM),Integrated Care Network (ICN) (Primary Care Case Management Entity (PCCM Entity)),Alabama Select Network,Statewide,0,0,0,Senior Select Partners,"",0,ICN,28641,29414,,0,"Associated Care Ventures, Inc.","",1,,
AR,"",Arkansas Blue Cross Blue Shield,Arkansas,2021,"",Other Prepaid Health Plan (PHP) (limited benefits),Arkansas Blue Cross Blue Shield (Other Prepaid Health Plan (PHP) (limited benefits)),Arkansas Blue Cross Blue Shield,Statewide,0,0,0,Blue Cross Blue Shield,"",0,"",,,,1,Blue Cross Blue Shield,"",,,
AR,"",Arkansas Health & Wellness Solutions,Arkansas,2021,"",Other Prepaid Health Plan (PHP) (limited benefits),Arkansas Health & Wellness Solutions (Other Prepaid Health Plan (PHP) (limited benefits)),Arkansas Health & Wellness Solutions,Statewide,0,0,0,Celtic Insurance Company,"",0,"",,,,0,Centene,"",,,
AR,"","HMO Partners, Inc",Arkansas,2021,"",Other Prepaid Health Plan (PHP) (limited benefits),"HMO Partners, Inc (Other Prepaid Health Plan (PHP) (limited benefits))","HMO Partners, Inc",Statewide,0,0,0,Health Advantage,"",0,"",,,,0,Health Advantage,"",,,
AR,"",Qualchoice,Arkansas,2021,"",Other Prepaid Health Plan (PHP) (limited benefits),"QCA Health Plan, Inc (Other Prepaid Health Plan (PHP) (limited benefits))","QCA Health Plan, Inc",Statewide,0,0,0,Qualchoice,"",0,"",,,,0,Qualchoice,"",,,
AR,"",Qualchoice,Arkansas,2021,"",Other Prepaid Health Plan (PHP) (limited benefits),Qualchoice Life & Health Insurance (Other Prepaid Health Plan (PHP) (limited benefits)),Qualchoice Life & Health Insurance,Statewide,0,0,0,Qualchoice,"",0,"",,,,0,Qualchoice,"",,,
AR,*101652093,Complete Health with PACE,Arkansas,2021,"",Program of All-Inclusive Care for the Elderly (PACE),PACE (Program of All-inclusive Care for the Elderly (PACE)),PACE,"Craighead, Lawrence, Mississippi, Greene, Poinsett, Randolph, Faulkner, Lonoke, Saline, Pulaksi, Benton, Madison, and Washington counties",0,0,0,N/A,"",0,COMPLETE HEALTH WITH PACE,102,110,,0,Baptist Health,"",1,,
AR,*132838715,Central Arkansas Development,Arkansas,2021,"",Non-Emergency Medical Transportation,Central Arkansas Development (Non-Emergency Medical Transportation),Central Arkansas Development,Statewide,0,0,0,Central Arkansas Development,"",0,CENTRAL ARKANSAS DEVELOPMENT,177768,178694,,0,Central Arkansas Development Council,"",1,,
AR,*132845715,Area Agency on Aging of Southeast Arkansas,Arkansas,2021,"",Non-Emergency Medical Transportation,Area Agency on Aging of Southeast (Non-Emergency Medical Transportation),Area Agency on Aging of Southeast,Statewide,0,0,0,Area Agency on Aging of Southeast,"",0,AREA AGENCY ON AGING OF SOUTHEAST,95927,96539,,0,Area Agencies on Aging,"",1,,
AR,*156033093,St. Bernard's Healthcare,Arkansas,2021,"",Non-Emergency Medical Transportation,"Southeastrans, Inc (Non-Emergency Medical Transportation)","Southeastrans, Inc",Statewide,0,0,0,"Southeastrans, Inc","",0,TOTAL LIFE HEALTHCARE INC,331,339,,0,St. Bernard's Healthcare,"",1,,
AR,*195015715,"Southeastrans, Inc",Arkansas,2021,"",Non-Emergency Medical Transportation,"Southeastrans, Inc (Non-Emergency Medical Transportation)","Southeastrans, Inc",Statewide,0,0,0,"Southeastrans, Inc","",0,"SOUTHEASTRANS, INC",142772,143479,,0,Southeastrans,"",1,,
AR,*197468715,"Southeastrans, Inc",Arkansas,2021,"",Non-Emergency Medical Transportation,"Southeastrans, Inc (Non-Emergency Medical Transportation)","Southeastrans, Inc",Statewide,0,0,0,"Southeastrans, Inc","",0,"SOUTHEASTRANS, INC",177738,178427,,0,Southeastrans,"",1,,
AR,*221537727,Delta Dental of Arkansas,Arkansas,2021,"",Dental only (PAHP),Delta Dental Plan Arkansas (Dental only (PAHP)),Delta Dental Smiles,Statewide,0,0,0,Delta Dental of Arkansas,"",0,DELTA DENTAL,373941,375249,,0,Delta Dental,"",1,,
AR,*221739727,MCNA Dental,Arkansas,2021,"",Dental only (PAHP),MCNA Insurance Company (Dental only (PAHP)),MCNA Dental,Statewide,0,0,0,MCNA Dental,"",0,MCNA,351784,353133,,0,United Healthcare,"",1,,
AR,*223649727,Empower Healthcare Solutions,Arkansas,2021,"",Comprehensive MCO + MLTSS,Empower Healthcare Solutions (Comprehensive MCO + MLTSS),Empower Healthcare Solutions,Statewide,0,0,0,Beacon,Empower Healthcare Solutions,1,EMPOWER HEALTH SOLUTIONS,21683,22311,,0,Arkansas Community Health Network|Arkansas Healthcare Alliance|Anthem|Independent Case Management|Statera|Woodruff Health Group,Anthem,1,,
